site_origine,garantie,garantie_unit,titre,description,couleur,prix_unit,prix_dec,etat,as_photo,date_crawl,date_verif,modele,taille_ecran,dimension,poid_unit,poid,images,categorie,marque,type_ecran,resolution,url,transaction,livraison,status,as_prix,m_interne,m_interne_unit,specs
ajini.com,,[],LED 32″ HD CRISTOR (T),,,DA,27900,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,32″,,,0,['https://www.ajini.com/wp-content/uploads/2020/05/TV-LED-32-HD-CRISTOR-500x500.jpg'],multimedia,CRISTOR,LED,HD,https://www.ajini.com/produit/tv-32-pouces-cristor/,,,200,,,,{}
ajini.com,,[],LED TV 32″ HD CRISTOR,,,DA,29900,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,32″,,,0,['https://www.ajini.com/wp-content/uploads/2020/05/TV-CRISTOR-32LH310-500x500.jpg'],multimedia,CRISTOR,LED,HD,https://www.ajini.com/produit/tv-led-cristor-32-pouces/,,,200,,,,{}
ajini.com,,[],LED TV TELESTAR 32″ H,,,DA,27500,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,32″,,,0,['https://www.ajini.com/wp-content/uploads/2021/03/led-32-500x500.jpg'],multimedia,TELESTAR,LED,HD,https://www.ajini.com/produit/led-tv-telestar-32-hd/,,,200,,,,{}
ajini.com,,[],LED TV TELESTAR 40″ F,,,DA,40700,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,40″,,,0,"[""data:image/svg+xml,%3Csvg%20xmlns=\\'http://www.w3.org/2000/svg\\'%20viewBox=\\'0%200%20500%20500\\'%3E%3C/svg%3E""]",multimedia,TELESTAR,LED,FHD,https://www.ajini.com/produit/led-tv-telestar-40-fhd/,,,200,,,,{}
ajini.com,,[],LED TV TELESTAR 43″ F,,,DA,48400,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,43″,,,0,"[""data:image/svg+xml,%3Csvg%20xmlns=\\'http://www.w3.org/2000/svg\\'%20viewBox=\\'0%200%20500%20500\\'%3E%3C/svg%3E""]",multimedia,TELESTAR,LED,FHD,https://www.ajini.com/produit/led-tv-telestar-43-fhd/,,,200,,,,{}
ajini.com,,[],LED TV TELESTAR 50″ S,,,DA,85800,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,50″,,,0,"[""data:image/svg+xml,%3Csvg%20xmlns=\\'http://www.w3.org/2000/svg\\'%20viewBox=\\'0%200%20500%20500\\'%3E%3C/svg%3E""]",multimedia,TELESTAR,LED,SMART,https://www.ajini.com/produit/led-tv-telestar-50-smart/,,,200,,,,{}
ajini.com,,[],LED TV TELESTAR 55 SMART,,,DA,97900,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,55″,,,0,"[""data:image/svg+xml,%3Csvg%20xmlns=\\'http://www.w3.org/2000/svg\\'%20viewBox=\\'0%200%20500%20500\\'%3E%3C/svg%3E""]",multimedia,TELESTAR,LED,SMART,https://www.ajini.com/produit/led-tv-telestar-55-smart/,,,200,,,,{}
ajini.com,,[],TELEVISEUR 50″ UHD SM,,,DA,145040,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,50″,,,0,"[""data:image/svg+xml,%3Csvg%20xmlns=\\'http://www.w3.org/2000/svg\\'%20viewBox=\\'0%200%20500%20500\\'%3E%3C/svg%3E""]",multimedia,,LED,UHD,https://www.ajini.com/produit/televiseur-50-uhd-smart-4k-2/,,,200,,,,{}
ajini.com,,[],TELEVISEUR 55″ LCD TV,,,DA,175056,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,55″,,,0,"[""data:image/svg+xml,%3Csvg%20xmlns=\\'http://www.w3.org/2000/svg\\'%20viewBox=\\'0%200%20281%20180\\'%3E%3C/svg%3E""]",multimedia,,LCD,4K,https://www.ajini.com/produit/televiseur-55-lcd-tv-55-ud-4k-smart-2/,,,200,,,,{}
ajini.com,,[],TV LED HD TELESTAR 32″,,,DA,27500,true,,2025-03-12T12:24:20.780901,2025-03-12T12:24:20.780901,,32″,,,0,"[""data:image/svg+xml,%3Csvg%20xmlns=\\'http://www.w3.org/2000/svg\\'%20viewBox=\\'0%200%20500%20500\\'%3E%3C/svg%3E""]",multimedia,TELESTAR,LED,HD,https://www.ajini.com/produit/tv-led-hd-telestar-32/,,,200,,,,{}
